date,price,volume
2020-05-22,16.131077991,282717894.26413083
2020-05-21,16.912983915,286664635.5119957
2020-05-20,17.205288802,329870795.2816629
2020-05-19,16.636628026,309887809.3307163
2020-05-18,16.296477796,299478118.561095
2020-05-17,16.064540507,292332328.50441426
2020-05-16,15.701988572,294668703.8811694
2020-05-15,16.387674195,322893636.1641619
2020-05-14,16.192591928,351131915.0836582
2020-05-13,15.792614347,354012818.598584
2020-05-12,15.076884776,374078444.86247784
2020-05-11,15.34673065,351807447.6985541
2020-05-10,16.865687844,423322563.6814866
2020-05-09,17.144535766,334539134.671661
2020-05-08,17.001716394,362702520.77519584
2020-05-07,16.474292224,353519053.77819127
2020-05-06,16.897695049,309579207.9580749
2020-05-05,17.044910684,320527821.34015816
2020-05-04,17.123855833,338020880.1194979
2020-05-03,17.558073837,337677503.39575535
2020-05-02,17.47580714,361643087.5657761
2020-05-01,17.002046152,428154063.11837226
2020-04-30,17.380844122,489843326.6105221
2020-04-29,16.359373596,340324391.2641921
2020-04-28,16.408735628,313969830.8630455
2020-04-27,16.36148412,355886607.67293745
2020-04-26,16.275928301,332792809.63564336
2020-04-25,15.941589521,309754408.73480237
2020-04-24,16.05954401,379551470.3510077
2020-04-23,15.701745158,382884648.0395224
2020-04-22,15.109083927,328226464.5197809
2020-04-21,14.995859692,340587934.9501107
2020-04-20,16.061588313,342333093.9354432
2020-04-19,16.591772704,398875354.88982004
2020-04-18,15.647508835,346850568.6510861
2020-04-17,15.673575196,348740637.0492583
2020-04-16,14.590713391,399450517.78023165
2020-04-15,15.571195782,413900209.89629227
2020-04-14,15.007676765,443188376.36595345
2020-04-13,14.314354849,399585575.45128286
2020-04-12,13.819245816,329291981.519755
2020-04-11,13.740602592,333443697.4568906
2020-04-10,15.027303416,375707976.42736316
2020-04-09,15.088902773,346248361.91170865
2020-04-08,14.713222609,359931830.7855929
2020-04-07,15.146677914,422917033.48023087
2020-04-06,13.569467897,347729054.5835576
2020-04-05,13.75752243,303413270.6767734
2020-04-04,13.355356561,327437035.3361871
2020-04-03,13.024764087,339281329.9311717
2020-04-02,12.683604215,333746347.74125004
2020-04-01,12.563044357,325937797.50677836
2020-03-31,12.189068988,299824163.6480442
2020-03-30,11.333005026,240442503.69681644
2020-03-29,12.188654959,189215337.31264424
2020-03-28,12.367030234,200385143.87439415
2020-03-27,13.157025871,257718878.56675375
2020-03-26,12.3294584,209112189.74321097
2020-03-25,12.394505646,274108011.1189242
2020-03-24,12.177447849,298460103.283158
2020-03-23,11.194167814,278408394.6255495
2020-03-22,12.033086624,298288946.59531814
2020-03-21,11.921187227,360509652.0454052
2020-03-20,12.264712413,394121811.833697
2020-03-19,10.350482584,282438942.0356428
2020-03-18,10.296203477,263001288.1668184
2020-03-17,9.380200578,276689490.17551583
2020-03-16,10.421481454,315695218.8255478
